id,label,effect,nTFs
0,sob,9.246376330311897,0
1,CG13333,9.848143198854423,1
2,disco,10.240811248711578,0
3,dpn,10.552885738259418,0
4,comm2,10.798946125203278,1
5,toc,12.251771063115829,1
6,cnc,12.255173766089154,0
7,mfas,12.554953958218059,1
8,jumu,12.610539185858679,0
9,brk,12.694336949842368,0
10,danr,12.89558660847891,1
11,path,13.127725206380896,1
12,gk,13.147614029263766,1
13,trn,13.189506161359215,1
14,Bsg25A,13.377815571447234,1
15,bun,13.440866869241729,0
16,HLHm5,13.554225301172028,0
17,Dfd,13.631532586596935,0
18,emc,13.829782804572142,0
19,Alh,13.896836639098705,0
20,Nek2,14.053715221531613,1
21,pxb,14.453025897413614,1
22,eve,14.46997837393441,0
23,tkv,14.898697417093869,0
24,srp,15.261211345337475,0
25,chrb,15.407687660082845,1
26,Btk29A,15.486065309445879,1
27,rib,15.49721797995049,0
28,dan,15.514801706641908,1
29,lok,15.610029557301788,1
30,apt,15.677999404234317,0
31,MESR3,15.735042686106363,1
32,bmm,15.818838290225239,1
33,CG10479,15.941487468002448,1
34,Doc2,16.01151114433189,0
35,cenG1A,16.019163612324306,1
36,Traf1,16.020702533496586,0
37,CG8965,16.039328720369685,1
38,gtP,16.049707221452802,0
39,Blimp,16.126754280113445,0
40,Doc3,16.22148042733133,0
41,sala,16.273235910576304,1
42,CG31607,16.438457544401388,1
43,D,16.48592786373456,0
44,cad,16.98327694781363,0
45,ftz,17.11169422801439,0
46,CG14427,17.224263854799613,1
47,CG11208,17.407675390785784,1
48,nub,17.799025137686076,0
49,term,17.93857872760989,1
50,CG10924,18.040007574311673,1
51,Ama,18.26303457969607,1
52,odd,18.508554665683857,0
53,Esp,18.51980102214855,1
54,gt,18.54934566196183,0
55,rho,18.838776108953223,1
56,slp2,18.86061522137141,0
57,h,19.217343664002044,0
58,prd,19.562592946525182,0
59,fj,20.000062097416482,1
60,aay,20.00188633087013,1
61,NetA,20.270868156086152,1
62,kni,20.42247832509009,0
63,Cyp310a1,20.524500880288382,1
64,ImpL2,20.546085663732526,1
65,CG31670,20.55798487266676,0
66,CG17724,21.186783660780165,1
67,oc,21.566016185544033,0
68,Ance,21.63164107682145,1
69,hb,21.66173399112424,0
70,CG4702,21.73828423591505,1
71,Mdr49,21.95225592127518,1
72,KrP,22.625512760080777,0
73,twi,22.95803796303292,0
74,numb,23.159643064740447,1
75,noc,23.2913823823903,0
76,htl,23.433782240990514,1
77,ImpE2,23.74249428518435,1
78,ken,24.44915151397243,0
79,sna,25.105775134409335,0
80,tsh,25.49715404321123,0
81,hbP,25.60185544952562,0
82,slp1,25.729237342928542,0
83,Ilp4,26.0298621675171,1
84,hkb,26.091710321547698,0
85,CG17786,26.65611694847366,1
86,Mes2,26.706598171226332,1
87,knrl,27.06133206844655,0
88,CG8147,27.23747224534208,1
89,Antp,28.075120613952606,0
90,edl,28.76473610240591,0
91,peb,30.112764975101488,0
92,fkh,30.150647843565757,0
93,Kr,30.756493801484375,0
94,bcdP,32.40793979557573,0
95,croc,33.36988066812402,0
96,bcd,37.638482236431614,0
97,zen,38.54538021967639,0
98,tll,38.804453170783425,0
